SIGMA-LI,DateOf,cecha1,cecha2
PPR-20K,5/10/2012,40,8.8
PPR-20K,4/19/2012,50,11
PPR-20K,5/10/2012,50,11
PPR-20K,5/11/2012,15,3.3
PPR-20K,5/11/2012,5,1.1
PPR-20K,5/12/2012,10,2.2
PPR-20K,5/14/2012,20,4.4
PPR-20K,5/17/2012,25,5.5
PPR-20K,5/17/2012,75,16.5
PPR-20K,4/20/2012,50,11
PPR-20K,5/17/2012,10,2.2
PPR-20K,5/18/2012,30,6.6
PPR-20K,4/23/2012,400,88
PPR-20K,5/23/2012,20,4.4
PPR-20K,5/25/2012,40,8.8
PPR-20K,5/28/2012,10,2.2
PPR-20K,4/24/2012,10,2.2
PPR-20K,4/24/2012,10,2.2
PPR-20K,5/24/2012,20,4.4
PPR-20K,6/1/2012,135,29.7
PPR-20K,6/1/2012,65,14.3
PPR-20K,6/1/2012,10,2.2
PPR-20K,5/28/2012,5,1.1
PPR-20K,5/28/2012,45,9.9
PPR-20K,6/1/2012,10,2.2
PPR-20K,5/31/2012,50,11
PPR-20K,5/30/2012,600,138
PPR-20K,6/4/2012,400,92
PPR-20K,6/4/2012,75,16.5
PPR-20K,6/4/2012,25,5.5
PPR-20K,6/5/2012,40,8.8
PPR-20K,4/26/2012,50,11
PPR-20K,6/6/2012,50,11
PPR-20K,6/11/2012,14,3.08
PPR-20K,6/11/2012,71,15.62
PPR-20K,6/11/2012,29,6.38
PPR-20K,5/2/2012,0,0
PPR-20K,5/2/2012,20,4.4
PPR-20K,6/13/2012,10,2.2
PPR-20K,6/13/2012,10,2.2
PPR-20K,6/18/2012,40,8.8
PPR-20K,6/16/2012,100,22
PPR-20K,6/20/2012,11,2.42
PPR-20K,6/20/2012,9,2.07
PPR-20K,6/21/2012,20,4.6
PPR-20K,6/20/2012,200,46
PPR-20K,6/25/2012,371,85.33
PPR-20K,6/25/2012,29,6.67
PPR-20K,6/26/2012,50,11.5
PPR-20K,6/26/2012,10,2.3
PPR-20K,6/26/2012,200,46
PPR-20K,6/26/2012,200,46
PPR-20K,6/26/2012,200,46
PPR-20K,6/26/2012,200,46
PPR-20K,6/26/2012,200,46
PPR-20K,6/26/2012,14,3.22
PPR-20K,7/2/2012,10,2.3
PPR-20K,7/4/2012,20,4.6
PPR-20K,7/2/2012,6,1.38
PPR-20K,7/13/2012,50,11.5
PPR-20K,7/16/2012,200,46
PPR-20K,7/17/2012,11,2.53
PPR-20K,7/17/2012,9,2.07
